Nome da Empresa;Endereço;Município;UF;"Data de 
Autorização para Início da Atividade";Capacidade de Inutilização;Código de Inutilização
AMADOR SERVIÇOS DE REQUALIFICAÇÃO EM RESERVATÓRIOS METÁLICOS LTDARAMAL ÁGUA FRIA, s/n, FAZENDA ITAGUA - APEÚ;;CASTANHAL;PA;14/07/2021;1060;O mmaa
AMAZONGÁS DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA.;RUA RIO QUIXITO, 1223, VILA BURITI;MANAUS;AM;06/06/2007;150;A mmaa
AMAZONGÁS DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA.;RUA RUI BARBOSA, 1779, CENTRO;PORTO VELHO;RO;01/11/2011;150;A2 mmaa
BAHIANA DISTRIBUIDORA DE GÁS LTDA;RODO - BA 523, S/N, BAIRRO MATARIPE;SAO FRANCISCO DO CONDE;BA;01/10/2001;980;H2 mmaa
BAHIANA DISTRIBUIDORA DE GÁS LTDA;AVENIDA BRIGADEIRO LUÍS ANTÔNIO, 1343, 9º ANDAR, BELA VISTA;SAO PAULO;SP;06/06/2007;;
BERQUO & CIA. LTDA.;RUA BERTO CIRIO, 3300, SAO LUIS;CANOAS;RS;12/12/2005;100;C mmaa
CAPIVARI INDUSTRIA COMERCIO E MANUTENCAO LTDA - EPP;"ESTRADA VELHA DOPILAR, S/N, QUADRA16 LOTE 12	, CHÁCARAS RIO-PETRÓPOLIS";DUQUE DE CAXIAS;RJ;26/01/2017;1000;C1 mmaa
CONSIGAZ-DISTRIBUIDORA DE GAS LTDA;ROD WALDOMIRO CORREA DE CAMARGO, S/N, KM 60 5 - ALA C, VILA MARTINS;ITU;SP;15/07/2022;1111;L mmaa
ESMALTEC S/A;PC DA IMPRENSA CHANCELER EDSON QUEIROZ, S/N;FORTALEZA;CE;01/08/2023;500;Z mmaa
GASMAN REQUALIFICADORA DE VASILHAMES PARA GLP LTDA. - EPP;AVENIDA   FIORAVANTE PIOVANI, 55, JARDIM DAS LARANJEIRAS;ITATIBA;SP;27/04/2016;450;G2 mmaa
MANGELS INDUSTRIAL S A;RODOVIA FERNÃO DIAS, KM 755,6, BR 381, DISTRITO INDUSTRIAL, CENTRO;TRES CORACOES;MG;02/02/2001;911;M1 mmaa
MANGELS INDUSTRIAL S A;RUA   PARACANAS, QUADRA 69, LOTES 1 A 11 E 20 A 26, JARDIM ELDORADO;APARECIDA DE GOIANIA;GO;05/02/2001;250;M2 mmaa
MANGELS INDUSTRIAL S A;RUA   ANTONIO FREDERICO OZANAN, 3421, BRIGADEIRA, SAO LUIS;CANOAS;RS;30/10/2001;500;M3 mmaa
MANGELS INDUSTRIAL S A;RUA ITAPEROÁ, 90, SETOR INDUSTRIAL DA BR-324;FEIRA DE SANTANA;BA;20/12/2011;892;M5 mmaa
MANGELS INDUSTRIAL S A;RUA EDSON QUEIROZ, 235, CHAPADA;ARAUCARIA;PR;05/02/2001;890;S mmaa
MANGELS INDUSTRIAL S A;AVENIDA ERNESTO IGEL, 500, BONFIM;PAULINIA;SP;02/07/2008;890;S2 mmaa
MORAVIA LTDA - EPP;AVENIDA DAS NAÇÕES, 1800, CAPELA VELHA;ARAUCARIA;PR;29/05/2017;;
NACIONAL ARCO-IRIS INDUSTRIA E COMERCIO DE TINTAS LTDA;AVENIDA PELAGIO DE OLIVEIRA BRANDAO, 2130, GALPAO B E C;MARACANAU;CE;23/01/2024;400;W mmaa
NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;TERMINAL PORTUARIO DE SUAPE, S/N, ILHA COCAIA;IPOJUCA;PE;28/02/2001;500;B1 mmaa
